,Customer,State,Customer Lifetime Value,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,response Rate
3427,WW87934,Arizona,8257.666512,Basic,Bachelor,Disabled,F,23815,Suburban,Married,73,4.0,47,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,424.330166,Four-Door Car,Medsize,1
3428,VO87785,Arizona,4858.429375,Basic,College,Employed,F,26480,Suburban,Divorced,63,13.0,17,0.0,3,Personal Auto,Personal L1,Offer2,Call Center,378.695238,Two-Door Car,Medsize,0
3429,QX84402,California,25464.82059,Extended,College,Retired,F,13663,Suburban,Single,97,1.0,66,0.0,2,Corporate Auto,Corporate L3,Offer1,Branch,465.6,Four-Door Car,Small,1
3430,XG64081,Arizona,2759.978287,Basic,Bachelor,Employed,M,92296,Suburban,Married,69,4.0,65,0.0,1,Personal Auto,Personal L3,Offer2,Agent,331.2,Two-Door Car,Medsize,1
3431,IE85867,Arizona,41787.90343,Premium,High School or Below,Employed,F,46587,Suburban,Divorced,119,34.0,74,2.0,2,Personal Auto,Personal L3,Offer1,Call Center,571.2,Four-Door Car,Medsize,1
3432,AH92481,California,4673.196379,Basic,College,Employed,F,53219,Suburban,Married,117,24.0,36,0.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,561.6,SUV,Medsize,0
3433,UI77960,California,6656.200678,Extended,High School or Below,Employed,F,39834,Suburban,Married,83,26.0,65,0.0,3,Personal Auto,Personal L2,Offer4,Web,398.4,Four-Door Car,Medsize,0
3434,OM63414,Arizona,5071.651522,Basic,Bachelor,Employed,F,62258,Rural,Single,65,14.0,17,0.0,5,Personal Auto,Personal L3,Offer1,Agent,117.450428,Two-Door Car,Large,0
3435,VQ48245,California,3221.788294,Extended,Master,Employed,F,77882,Suburban,Married,79,17.0,36,0.0,1,Personal Auto,Personal L3,Offer3,Web,379.2,Four-Door Car,Small,1
3436,KP34198,California,3343.875326,Extended,Bachelor,Unemployed,F,0,Suburban,Married,92,11.0,77,0.0,1,Corporate Auto,Corporate L2,Offer2,Call Center,529.624084,Four-Door Car,Medsize,0
3437,MI13678,California,2506.197852,Basic,High School or Below,Employed,M,92056,Rural,Married,62,21.0,1,0.0,1,Personal Auto,Personal L3,Offer2,Branch,89.398794,Four-Door Car,Medsize,1
3438,EP82214,Arizona,26180.80528,Extended,High School or Below,Employed,F,68189,Urban,Married,82,15.149070740488469,17,0.384256105867471,2,Special Auto,Special L2,Offer2,Branch,343.121192,Four-Door Car,Medsize,0
3439,CR92272,Arizona,8051.56643,Basic,Doctor,Employed,F,57664,Urban,Married,100,21.0,48,0.0,7,Personal Auto,Personal L2,Offer1,Agent,344.92729,SUV,Medsize,0
3440,BW94308,Washington,20096.89337,Basic,High School or Below,Employed,F,92766,Suburban,Married,71,17.0,15,0.0,2,Personal Auto,Personal L2,Offer2,Agent,379.029102,Two-Door Car,Large,1
3441,BZ44726,California,16477.76843,Basic,High School or Below,Employed,F,49825,Suburban,Married,70,14.0,27,3.0,2,Corporate Auto,Corporate L3,Offer3,Agent,336.0,Two-Door Car,Medsize,1
3442,YE45848,California,8026.278333,Extended,Bachelor,Employed,F,87421,Suburban,Married,99,21.0,6,0.0,6,Corporate Auto,Corporate L2,Offer1,Branch,475.2,Two-Door Car,Medsize,0
3443,PO80505,Nevada,4223.274671,Basic,College,Disabled,F,14170,Suburban,Married,109,9.0,10,0.0,1,Personal Auto,Personal L3,Offer1,Agent,523.2,SUV,Medsize,0
3444,IC12985,Arizona,4579.605586,Premium,Bachelor,Employed,M,40160,Suburban,Married,118,15.149070740488469,48,0.384256105867471,1,Personal Auto,Personal L2,Offer2,Call Center,566.4,Four-Door Car,Small,0
3445,LS59637,Arizona,2719.506996,Basic,College,Retired,F,14030,Suburban,Married,72,11.0,3,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,345.6,Two-Door Car,Large,1
3446,FD98839,Oregon,2894.327413,Basic,College,Employed,M,52674,Rural,Married,73,8.0,49,0.0,1,Personal Auto,Personal L1,Offer2,Call Center,166.5492,Two-Door Car,Large,0
3447,KP83069,California,7286.155383,Basic,High School or Below,Unemployed,F,0,Suburban,Single,69,4.0,83,1.0,2,Personal Auto,Personal L3,Offer2,Branch,669.716478,Four-Door Car,Small,0
3448,CG94611,Oregon,3016.444225,Extended,College,Medical Leave,M,25630,Suburban,Single,86,8.0,63,0.0,1,Corporate Auto,Corporate L3,Offer4,Agent,412.8,Two-Door Car,Medsize,0
3449,PU85769,California,5156.072651,Basic,High School or Below,Unemployed,M,0,Suburban,Single,73,15.149070740488469,72,0.384256105867471,7,Personal Auto,Personal L2,Offer1,Branch,807.947292,Four-Door Car,Small,0
3450,HW36182,California,2615.911934,Basic,Master,Unemployed,M,0,Suburban,Married,71,22.0,45,0.0,1,Personal Auto,Personal L1,Offer2,Agent,340.8,Two-Door Car,Medsize,0
3451,UE76013,Washington,5039.869278,Extended,Master,Employed,F,35984,Rural,Married,128,7.0,68,3.0,1,Personal Auto,Personal L3,Offer2,Call Center,275.577631,SUV,Medsize,0
3452,AT98182,California,2525.419695,Basic,Doctor,Unemployed,F,0,Rural,Married,67,9.0,37,0.0,1,Corporate Auto,Corporate L3,Offer4,Agent,146.301396,Four-Door Car,Large,0
3453,JG83075,California,6725.043747,Extended,College,Unemployed,F,0,Suburban,Single,95,15.0,8,0.0,5,Corporate Auto,Corporate L3,Offer1,Agent,684.0,Four-Door Car,Medsize,0
3454,XN48526,California,2627.76229,Basic,College,Medical Leave,F,20943,Urban,Married,69,0.0,86,0.0,1,Personal Auto,Personal L3,Offer3,Branch,240.00056,Four-Door Car,Medsize,0
3455,UT73461,Oregon,4505.398267,Basic,Doctor,Employed,F,81079,Rural,Married,111,11.0,5,0.0,1,Special Auto,Special L3,Offer2,Web,134.222332,SUV,Medsize,0
3456,MG74662,Oregon,3484.247842,Extended,High School or Below,Employed,F,51337,Rural,Single,88,3.0,70,0.0,1,Corporate Auto,Corporate L2,Offer3,Branch,72.543171,Four-Door Car,Medsize,0
3457,ZK61113,Oregon,6291.589959,Extended,High School or Below,Unemployed,M,0,Suburban,Single,94,2.0,61,0.0,6,Personal Auto,Personal L2,Offer3,Agent,676.8,Two-Door Car,Medsize,0
3458,JU64043,California,4999.34581,Basic,Master,Employed,M,49414,Rural,Single,68,8.0,82,5.0,6,Personal Auto,Personal L3,Offer1,Agent,159.631303,Four-Door Car,Large,1
3459,TA35356,California,9664.330983,Extended,College,Employed,F,86054,Rural,Married,239,12.0,11,0.0,1,Personal Auto,Personal L3,Offer2,Branch,115.166422,Luxury Car,Medsize,0
3460,SM80235,Oregon,2746.921502,Basic,High School or Below,Employed,M,62302,Suburban,Single,70,7.0,7,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,504.0,Four-Door Car,Small,0
3461,YG92601,California,3309.248219,Extended,College,Employed,M,85632,Rural,Married,82,23.0,4,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,7.2574,Two-Door Car,Medsize,1
3462,GP22382,Oregon,4858.116042,Extended,College,Employed,F,21685,Suburban,Single,127,0.0,70,0.0,1,Corporate Auto,Corporate L3,Offer2,Web,609.6,Sports Car,Large,0
3463,KR17533,Oregon,3954.538361,Basic,Doctor,Employed,M,40175,Rural,Divorced,102,34.0,78,1.0,1,Personal Auto,Personal L1,Offer3,Branch,154.721555,Four-Door Car,Medsize,0
3464,RT51330,California,2510.633216,Basic,Doctor,Unemployed,F,0,Suburban,Married,64,24.0,1,0.0,1,Corporate Auto,Corporate L3,Offer4,Branch,437.184112,Four-Door Car,Large,0
3465,AM36670,California,4997.780688,Basic,College,Employed,F,54827,Rural,Single,64,17.0,88,0.0,3,Personal Auto,Personal L3,Offer1,Branch,132.947215,Four-Door Car,Large,0
3466,BY75330,California,26939.51419,Basic,Bachelor,Employed,M,96866,Urban,Divorced,113,26.0,88,1.0,2,Personal Auto,Personal L2,Offer1,Agent,377.385724,SUV,Small,0
3467,BT78461,California,11288.17204,Basic,College,Employed,F,96399,Urban,Married,70,1.0,28,0.0,2,Personal Auto,Personal L1,Offer2,Agent,307.89535,Four-Door Car,Medsize,0
3468,MS59005,Nevada,5913.305869,Extended,Bachelor,Employed,M,43676,Suburban,Single,76,19.0,7,0.0,3,Personal Auto,Personal L3,Offer1,Agent,364.8,Four-Door Car,Medsize,0
3469,QK46697,Washington,6177.109254,Extended,Bachelor,Employed,M,61040,Rural,Married,79,12.0,24,1.0,4,Personal Auto,Personal L3,Offer4,Agent,20.382876,Two-Door Car,Medsize,0
3470,QO59138,Arizona,2590.214327,Basic,High School or Below,Disabled,M,18746,Suburban,Married,68,21.0,93,0.0,1,Personal Auto,Personal L2,Offer2,Branch,326.4,Four-Door Car,Medsize,0
3471,OT40088,Oregon,9904.977027,Basic,High School or Below,Unemployed,F,0,Suburban,Single,66,1.0,73,0.0,2,Personal Auto,Personal L3,Offer1,Web,475.2,Four-Door Car,Small,0
3472,JW70372,Arizona,7124.202899,Extended,Doctor,Employed,F,61233,Rural,Married,89,27.0,50,2.0,7,Personal Auto,Personal L2,Offer2,Branch,181.287697,Four-Door Car,Medsize,0
3473,VQ38776,Oregon,5303.759534,Extended,College,Unemployed,F,0,Suburban,Single,76,18.0,63,0.0,3,Personal Auto,Personal L3,Offer2,Agent,395.34111,Four-Door Car,Large,0
3474,ME37051,California,7340.496505,Basic,Bachelor,Employed,M,50165,Rural,Divorced,62,15.0,63,0.0,2,Personal Auto,Personal L3,Offer1,Agent,129.999138,Two-Door Car,Medsize,0
3475,YM99866,Arizona,2611.965869,Basic,High School or Below,Employed,M,53904,Suburban,Married,67,1.0,17,2.0,1,Personal Auto,Personal L2,Offer3,Agent,321.6,Four-Door Car,Medsize,0
3476,XE72624,California,2536.885365,Basic,High School or Below,Employed,F,34653,Suburban,Married,64,18.0,72,0.0,1,Corporate Auto,Corporate L1,Offer4,Branch,307.2,Four-Door Car,Small,0
3477,BP54465,Arizona,10546.65545,Extended,Master,Employed,F,43922,Rural,Married,88,26.0,88,0.0,2,Personal Auto,Personal L3,Offer2,Web,108.701381,Four-Door Car,Medsize,0
3478,ZW18871,Oregon,8272.485353,Basic,High School or Below,Employed,M,91245,Rural,Divorced,69,16.0,50,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,19.251693,Four-Door Car,Small,0
3479,SB41594,California,2543.003943,Basic,College,Employed,M,26691,Suburban,Married,65,7.0,51,0.0,1,Personal Auto,Personal L3,Offer3,Agent,312.0,Four-Door Car,Large,0
3480,YH92099,Arizona,3087.999917,Extended,Bachelor,Disabled,F,18558,Suburban,Married,80,17.0,23,0.0,1,Special Auto,Special L1,Offer1,Agent,384.0,Four-Door Car,Medsize,0
3481,FH39423,Oregon,5539.349243,Basic,Master,Employed,F,80727,Rural,Married,68,15.0,43,0.0,4,Personal Auto,Personal L2,Offer2,Call Center,98.71658,Four-Door Car,Medsize,0
3482,SE78641,Arizona,4654.841089,Basic,Bachelor,Unemployed,M,0,Suburban,Single,67,33.0,19,0.0,4,Personal Auto,Personal L2,Offer1,Call Center,577.385463,Two-Door Car,Large,0
3483,LV82913,Oregon,5715.787663,Basic,College,Employed,M,69451,Urban,Married,72,3.0,93,0.0,5,Corporate Auto,Corporate L2,Offer2,Web,230.241775,Four-Door Car,Medsize,0
3484,QM59790,California,3142.87734,Extended,High School or Below,Unemployed,F,0,Suburban,Divorced,86,17.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Branch,412.8,Four-Door Car,Small,1
3485,LX42787,California,2309.596399,Basic,College,Retired,M,22567,Suburban,Single,69,6.0,12,0.0,1,Personal Auto,Personal L2,Offer4,Branch,496.8,Four-Door Car,Large,0
3486,HV93429,Oregon,5176.579135,Basic,Master,Employed,F,23636,Rural,Married,65,19.0,10,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,81.452537,Four-Door Car,Large,0
3487,AH41449,Nevada,7907.133288,Basic,College,Employed,M,24666,Rural,Married,101,32.0,51,0.0,3,Personal Auto,Personal L2,Offer3,Branch,151.835574,Sports Car,Medsize,0
3488,SZ56338,Oregon,5597.12496,Extended,High School or Below,Employed,F,37995,Suburban,Married,139,16.0,50,0.0,1,Personal Auto,Personal L3,Offer1,Branch,667.2,SUV,Medsize,1
3489,UK76891,California,5233.986808,Basic,College,Employed,F,63259,Suburban,Married,65,25.0,14,0.0,7,Corporate Auto,Corporate L3,Offer1,Agent,316.795337,Four-Door Car,Medsize,0
3490,FH36069,Arizona,21101.21422,Basic,College,Employed,F,61347,Suburban,Married,106,27.0,66,0.0,2,Personal Auto,Personal L2,Offer4,Branch,604.237801,SUV,Medsize,0
3491,PI47776,Oregon,2530.705137,Basic,Bachelor,Employed,F,89451,Rural,Single,63,11.0,2,0.0,1,Corporate Auto,Corporate L3,Offer2,Web,61.769564,Four-Door Car,Medsize,1
3492,YL65673,California,19045.50012,Basic,Bachelor,Unemployed,F,0,Suburban,Single,61,2.0,61,0.0,2,Personal Auto,Personal L2,Offer1,Agent,439.2,Four-Door Car,Small,0
3493,CB62406,Arizona,6803.596768,Premium,High School or Below,Employed,M,43758,Suburban,Married,171,16.0,29,0.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,1129.929433,Four-Door Car,Medsize,0
3494,UP80657,Washington,2674.730716,Basic,College,Employed,M,56342,Suburban,Single,69,12.0,89,0.0,1,Corporate Auto,Corporate L3,Offer2,Call Center,331.2,Four-Door Car,Small,1
3495,GP13187,California,14917.33495,Basic,Master,Unemployed,F,0,Suburban,Married,190,15.149070740488469,36,0.384256105867471,3,Personal Auto,Personal L3,Offer1,Branch,1368.0,Luxury Car,Medsize,0
3496,AP52126,Oregon,13151.83203,Basic,College,Employed,F,68562,Rural,Married,108,29.0,52,0.0,2,Personal Auto,Personal L3,Offer2,Branch,228.498823,SUV,Medsize,0
3497,GX37592,Nevada,5675.923323,Basic,College,Employed,F,33257,Suburban,Married,72,15.0,14,1.0,4,Personal Auto,Personal L3,Offer3,Web,345.6,Four-Door Car,Medsize,0
3498,WK62379,Washington,8903.966435,Premium,Bachelor,Medical Leave,F,15142,Suburban,Married,116,7.0,5,0.0,3,Personal Auto,Personal L2,Offer2,Branch,792.609747,Two-Door Car,Small,0
3499,XB89264,California,5260.921627,Basic,High School or Below,Employed,F,60101,Rural,Married,66,34.0,74,0.0,3,Corporate Auto,Corporate L2,Offer2,Agent,1.332349,Two-Door Car,Medsize,1
3500,AK59340,California,5601.138061,Basic,High School or Below,Employed,M,42360,Rural,Single,71,29.0,62,0.0,8,Corporate Auto,Corporate L3,Offer1,Branch,99.509191,Four-Door Car,Medsize,1
3501,KV56995,Nevada,3954.344534,Basic,Bachelor,Disabled,M,18375,Suburban,Married,103,8.0,50,0.0,1,Personal Auto,Personal L2,Offer1,Branch,535.080276,Sports Car,Large,1
3502,WI52672,California,13576.143,Basic,High School or Below,Employed,F,94153,Rural,Married,111,2.0,5,0.0,2,Corporate Auto,Corporate L3,Offer1,Web,4.845348,SUV,Medsize,0
3503,PG67485,Nevada,9048.983447,Basic,High School or Below,Unemployed,M,0,Suburban,Married,119,9.0,8,0.0,3,Personal Auto,Personal L2,Offer2,Web,571.2,Sports Car,Medsize,1
3504,BY22068,Arizona,23950.37443,Extended,High School or Below,Employed,M,39335,Suburban,Married,201,0.0,11,0.0,2,Corporate Auto,Corporate L1,Offer4,Agent,964.8,Luxury SUV,Medsize,0
3505,QF21628,California,3095.627124,Extended,High School or Below,Employed,M,53588,Suburban,Married,77,15.149070740488469,71,0.384256105867471,1,Personal Auto,Personal L3,Offer2,Branch,369.6,Four-Door Car,Medsize,0
3506,IX60436,Arizona,2853.370449,Basic,Bachelor,Employed,M,65099,Suburban,Married,73,8.0,19,2.0,1,Special Auto,Special L1,Offer2,Branch,350.4,Four-Door Car,Medsize,0
3507,GQ46925,Arizona,5821.684337,Premium,High School or Below,Employed,M,77563,Urban,Married,143,35.0,58,0.0,1,Personal Auto,Personal L1,Offer4,Call Center,545.999699,Sports Car,Medsize,0
3508,BN74268,Arizona,11763.15249,Extended,College,Employed,F,28045,Suburban,Married,99,7.0,99,0.0,2,Personal Auto,Personal L3,Offer1,Branch,475.2,Four-Door Car,Medsize,0
3509,CQ15251,Oregon,5150.416511,Basic,Bachelor,Employed,F,65629,Rural,Married,64,21.0,28,0.0,3,Personal Auto,Personal L3,Offer4,Call Center,89.411365,Four-Door Car,Large,0
3510,XH97711,California,2430.506586,Basic,Bachelor,Employed,M,83140,Urban,Married,61,25.0,70,0.0,1,Corporate Auto,Corporate L3,Offer4,Agent,179.161843,Four-Door Car,Medsize,0
3511,ZO14864,Washington,3417.204953,Extended,Master,Employed,F,42526,Urban,Divorced,86,12.0,71,0.0,1,Personal Auto,Personal L3,Offer2,Agent,287.5426,Two-Door Car,Medsize,0
3512,RW70500,Oregon,7996.604028,Basic,Master,Employed,F,43657,Suburban,Married,66,21.0,74,0.0,2,Personal Auto,Personal L1,Offer1,Agent,316.8,Two-Door Car,Large,0
3513,RP98585,Arizona,7610.203455,Extended,Master,Employed,M,38086,Urban,Married,96,17.0,10,0.0,7,Personal Auto,Personal L3,Offer4,Agent,243.237741,Two-Door Car,Medsize,0
3514,YC33550,Oregon,2826.804029,Basic,High School or Below,Employed,F,24224,Suburban,Divorced,71,7.0,64,0.0,1,Corporate Auto,Corporate L2,Offer2,Call Center,511.2,Two-Door Car,Small,0
3515,QG15435,Arizona,6242.595729,Extended,College,Employed,F,75680,Rural,Married,78,27.0,6,0.0,6,Personal Auto,Personal L3,Offer2,Agent,136.787725,Four-Door Car,Medsize,0
3516,HX90683,California,2472.469209,Basic,College,Employed,F,63860,Urban,Married,62,26.0,81,0.0,1,Personal Auto,Personal L2,Offer2,Agent,208.598246,Four-Door Car,Medsize,1
3517,PU71194,Oregon,35203.57475,Premium,Bachelor,Employed,F,56343,Suburban,Divorced,295,11.0,69,0.0,2,Personal Auto,Personal L3,Offer1,Branch,1612.962321,Luxury Car,Medsize,0
3518,IJ74908,Nevada,13115.40751,Premium,Bachelor,Employed,M,20705,Rural,Divorced,171,8.0,12,1.0,3,Personal Auto,Personal L3,Offer1,Call Center,237.264543,SUV,Medsize,0
3519,BL54814,Arizona,4871.15057,Basic,College,Employed,M,72648,Rural,Married,61,0.0,78,0.0,5,Personal Auto,Personal L2,Offer3,Agent,120.850664,Four-Door Car,Medsize,0
3520,LQ28707,Oregon,22658.53652,Basic,Bachelor,Retired,M,23665,Suburban,Married,67,19.0,50,0.0,2,Personal Auto,Personal L3,Offer1,Branch,404.817249,Four-Door Car,Medsize,1
3521,UB61619,Oregon,4059.567414,Premium,Master,Disabled,F,11621,Suburban,Divorced,108,4.0,98,0.0,1,Personal Auto,Personal L1,Offer1,Agent,518.4,Four-Door Car,Medsize,0
3522,GF68713,Oregon,3207.468733,Extended,Bachelor,Employed,M,24695,Suburban,Married,82,0.0,88,0.0,1,Personal Auto,Personal L3,Offer3,Web,393.6,Four-Door Car,Large,0
3523,FE46445,Arizona,6965.423975,Extended,High School or Below,Employed,F,25411,Urban,Married,86,8.0,73,0.0,8,Personal Auto,Personal L1,Offer2,Branch,242.807725,Four-Door Car,Medsize,0
3524,PN18863,California,5109.50079,Basic,College,Employed,M,21277,Suburban,Divorced,66,1.0,42,0.0,9,Corporate Auto,Corporate L3,Offer2,Web,316.8,Four-Door Car,Medsize,0
3525,WW85018,Washington,6293.963716,Extended,Bachelor,Employed,M,45430,Suburban,Single,81,21.0,37,0.0,8,Personal Auto,Personal L1,Offer1,Agent,388.8,Two-Door Car,Large,0
3526,CH78309,Oregon,2906.298309,Basic,College,Employed,M,72211,Rural,Married,73,12.0,1,0.0,1,Personal Auto,Personal L3,Offer2,Web,44.912125,Four-Door Car,Medsize,0
3527,OH15677,California,3742.579083,Basic,High School or Below,Unemployed,M,0,Suburban,Single,110,35.0,78,1.0,1,Personal Auto,Personal L2,Offer1,Agent,1272.546918,Sports Car,Medsize,0
3528,QX45933,California,17840.19555,Basic,Bachelor,Unemployed,M,0,Suburban,Married,62,32.0,59,0.0,2,Personal Auto,Personal L1,Offer1,Agent,385.115437,Four-Door Car,Small,0
3529,DS31990,California,5093.479191,Basic,High School or Below,Unemployed,M,0,Rural,Married,71,15.149070740488469,55,0.384256105867471,3,Personal Auto,Personal L3,Offer2,Call Center,150.878447,Two-Door Car,Large,1
3530,NF31087,Nevada,24723.18311,Basic,High School or Below,Employed,F,44685,Suburban,Married,69,1.0,41,0.0,2,Personal Auto,Personal L2,Offer2,Agent,331.2,Four-Door Car,Medsize,0
3531,YL74911,California,8714.922135,Basic,College,Unemployed,F,0,Suburban,Divorced,118,15.149070740488469,64,0.384256105867471,4,Personal Auto,Personal L3,Offer1,Agent,566.4,SUV,Medsize,1
3532,PO90615,Arizona,2491.257604,Basic,High School or Below,Medical Leave,F,25965,Suburban,Divorced,65,23.0,27,0.0,1,Personal Auto,Personal L2,Offer1,Agent,329.206567,Four-Door Car,Medsize,1
3533,WR85740,Arizona,8149.769437,Basic,Doctor,Unemployed,F,0,Suburban,Married,71,28.0,76,0.0,2,Corporate Auto,Corporate L3,Offer2,Call Center,340.8,Two-Door Car,Medsize,0
3534,ZQ11381,Arizona,16870.3882,Extended,Bachelor,Employed,M,61063,Urban,Married,85,21.0,4,0.0,2,Personal Auto,Personal L2,Offer2,Agent,262.504882,Four-Door Car,Medsize,0
3535,HP68848,Arizona,9165.721087,Premium,High School or Below,Employed,F,53792,Suburban,Married,115,1.0,8,1.0,8,Corporate Auto,Corporate L3,Offer1,Call Center,552.0,Four-Door Car,Small,0
3536,TK67721,Oregon,2274.669484,Basic,High School or Below,Unemployed,F,0,Suburban,Single,64,12.0,25,0.0,1,Corporate Auto,Corporate L2,Offer4,Call Center,621.968062,Four-Door Car,Medsize,0
3537,XE22944,California,4643.413135,Extended,Bachelor,Disabled,F,12261,Suburban,Divorced,125,26.0,80,0.0,1,Personal Auto,Personal L1,Offer1,Call Center,600.0,SUV,Medsize,1
3538,SP56326,Arizona,7452.998789,Premium,High School or Below,Medical Leave,F,12195,Suburban,Divorced,101,29.0,35,0.0,7,Personal Auto,Personal L3,Offer1,Branch,670.581817,Four-Door Car,Medsize,0
3539,HS94778,Oregon,11793.12528,Basic,College,Employed,F,32214,Urban,Married,100,5.0,6,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,296.560998,SUV,Medsize,0
3540,JQ91314,Washington,3288.6575,Extended,College,Unemployed,M,0,Suburban,Single,97,15.149070740488469,17,0.384256105867471,1,Personal Auto,Personal L2,Offer2,Call Center,1026.315988,Four-Door Car,Medsize,0
3541,UR36912,California,2796.802191,Basic,Bachelor,Employed,M,77362,Suburban,Married,70,14.0,25,0.0,1,Personal Auto,Personal L3,Offer2,Agent,386.599797,Two-Door Car,Medsize,0
3542,JO63462,California,3307.99904,Extended,Bachelor,Employed,M,79797,Rural,Divorced,84,27.0,46,0.0,1,Corporate Auto,Corporate L2,Offer4,Branch,31.755601,Two-Door Car,Medsize,0
3543,JP30654,Oregon,28685.82785,Basic,College,Employed,F,48412,Suburban,Single,104,15.0,23,0.0,2,Personal Auto,Personal L3,Offer3,Agent,707.430832,SUV,Medsize,0
3544,AW77988,Oregon,35850.59935,Basic,High School or Below,Disabled,M,17588,Suburban,Single,192,24.0,92,0.0,2,Personal Auto,Personal L1,Offer1,Web,1382.4,Four-Door Car,Medsize,0
3545,TW11712,Arizona,4574.924641,Basic,Master,Employed,M,32906,Suburban,Single,115,18.0,17,0.0,1,Personal Auto,Personal L3,Offer1,Branch,552.0,SUV,Medsize,0
3546,SC43870,California,15862.17507,Basic,Bachelor,Unemployed,M,0,Suburban,Single,66,14.0,16,0.0,2,Corporate Auto,Corporate L3,Offer1,Web,475.2,Four-Door Car,Medsize,0
3547,WO30947,California,5348.30258,Basic,Bachelor,Employed,M,31572,Urban,Married,70,14.0,95,3.0,3,Personal Auto,Personal L2,Offer2,Call Center,292.434826,Four-Door Car,Medsize,1
3548,MU53244,California,5095.439821,Extended,Bachelor,Unemployed,F,0,Urban,Married,137,19.0,30,0.0,1,Personal Auto,Personal L2,Offer1,Web,452.295175,SUV,Medsize,0
3549,QN67807,California,5387.40977,Basic,Bachelor,Employed,M,97316,Urban,Married,67,13.0,18,0.0,7,Personal Auto,Personal L3,Offer2,Branch,309.076476,Four-Door Car,Medsize,1
3550,IA42992,Arizona,8267.119555,Basic,High School or Below,Employed,M,36881,Suburban,Married,104,5.0,25,0.0,3,Special Auto,Special L3,Offer1,Agent,499.2,SUV,Medsize,0
3551,MK15785,Nevada,4387.31087,Basic,Master,Employed,M,48015,Suburban,Married,110,24.0,57,0.0,1,Corporate Auto,Corporate L2,Offer4,Call Center,528.0,Sports Car,Medsize,0
3552,KR90607,Washington,3721.390713,Basic,College,Unemployed,F,0,Suburban,Single,101,16.0,59,0.0,1,Personal Auto,Personal L1,Offer1,Agent,862.49778,SUV,Medsize,0
3553,QL10321,California,5768.830622,Basic,Doctor,Employed,F,92509,Rural,Married,71,16.0,43,0.0,8,Personal Auto,Personal L2,Offer3,Agent,109.296118,Four-Door Car,Medsize,0
3554,YJ88573,Nevada,2523.07015,Basic,Master,Employed,M,43072,Suburban,Married,63,35.0,15,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large,0
3555,LI81655,California,6638.122296,Premium,Master,Employed,M,21586,Suburban,Married,167,31.0,44,1.0,1,Personal Auto,Personal L2,Offer4,Agent,801.6,Sports Car,Medsize,0
3556,ML23548,Arizona,10548.53703,Extended,Doctor,Employed,F,27458,Suburban,Married,131,18.0,62,1.0,3,Personal Auto,Personal L1,Offer3,Call Center,730.373515,Sports Car,Medsize,0
3557,XY78443,Arizona,2147.656911,Basic,College,Unemployed,F,0,Suburban,Single,62,32.0,45,0.0,1,Personal Auto,Personal L3,Offer4,Agent,297.6,Two-Door Car,Medsize,0
3558,ST96866,Washington,3123.080994,Basic,Bachelor,Unemployed,M,0,Suburban,Married,101,1.0,83,4.0,1,Special Auto,Special L3,Offer1,Agent,960.115399,SUV,Large,1
3559,QH51455,California,4004.5513,Premium,College,Unemployed,M,0,Suburban,Married,107,21.0,65,0.0,1,Personal Auto,Personal L3,Offer2,Agent,513.6,Four-Door Car,Medsize,1
3560,GB20532,Arizona,3011.270628,Extended,High School or Below,Unemployed,M,0,Suburban,Single,86,18.0,41,0.0,1,Personal Auto,Personal L3,Offer1,Web,569.130423,Four-Door Car,Medsize,0
3561,AU77281,Oregon,2472.469209,Basic,College,Employed,F,63860,Urban,Married,62,26.0,81,0.0,1,Personal Auto,Personal L2,Offer2,Agent,208.598246,Four-Door Car,Medsize,1
3562,QA22158,Arizona,7122.273163,Extended,College,Employed,F,64571,Suburban,Divorced,89,34.0,91,0.0,6,Corporate Auto,Corporate L3,Offer1,Call Center,452.115601,Four-Door Car,Medsize,0
3563,KY55245,California,5169.49937,Basic,High School or Below,Medical Leave,M,12430,Suburban,Single,73,22.0,13,0.0,4,Personal Auto,Personal L3,Offer2,Call Center,350.4,Four-Door Car,Medsize,1
3564,QO77034,California,3567.503755,Basic,Bachelor,Unemployed,M,0,Suburban,Married,102,28.0,11,0.0,1,Personal Auto,Personal L3,Offer2,Agent,660.430456,SUV,Medsize,1
3565,FX36546,California,3679.142115,Extended,Master,Employed,M,60804,Rural,Married,92,16.0,50,0.0,1,Personal Auto,Personal L3,Offer2,Agent,213.225001,Four-Door Car,Medsize,1
